"Year","Clave","CVE_ENT","Entidad","CVE_MUN","Municipio","CODGEO","Indicador","Ponderador","Valor"
2010,"019","01","Aguascalientes","001","Aguascalientes","01001","Porcentaje de población en pobreza extrema","801,807","2.16"
2015,"019","01","Aguascalientes","001","Aguascalientes","01001","Porcentaje de población en pobreza extrema","861,446","1.58"
2010,"019","01","Aguascalientes","002","Asientos","01002","Porcentaje de población en pobreza extrema","48,358","8.55"
2015,"019","01","Aguascalientes","002","Asientos","01002","Porcentaje de población en pobreza extrema","46,624","4.43"
2010,"019","01","Aguascalientes","003","Calvillo","01003","Porcentaje de población en pobreza extrema","57,627","7.60"
2015,"019","01","Aguascalientes","003","Calvillo","01003","Porcentaje de población en pobreza extrema","52,773","3.13"
2010,"019","01","Aguascalientes","004","Cosío","01004","Porcentaje de población en pobreza extrema","14,929","5.31"
2015,"019","01","Aguascalientes","004","Cosío","01004","Porcentaje de población en pobreza extrema","15,321","2.82"
2010,"019","01","Aguascalientes","010","El Llano","01010","Porcentaje de población en pobreza extrema","18,362","12.62"
2015,"019","01","Aguascalientes","010","El Llano","01010","Porcentaje de población en pobreza extrema","19,955","5.33"
2010,"019","01","Aguascalientes","005","Jesús María","01005","Porcentaje de población en pobreza extrema","102,211","5.14"
2015,"019","01","Aguascalientes","005","Jesús María","01005","Porcentaje de población en pobreza extrema","125,750","1.67"
2010,"019","01","Aguascalientes","006","Pabellón de Arteaga","01006","Porcentaje de población en pobreza extrema","40,659","5.79"
2015,"019","01","Aguascalientes","006","Pabellón de Arteaga","01006","Porcentaje de población en pobreza extrema","45,733","2.20"
2010,"019","01","Aguascalientes","007","Rincón de Romos","01007","Porcentaje de población en pobreza extrema","48,526","9.09"
2015,"019","01","Aguascalientes","007","Rincón de Romos","01007","Porcentaje de población en pobreza extrema","50,895","3.26"
2010,"019","01","Aguascalientes","011","San Francisco de los Romo","01011","Porcentaje de población en pobreza extrema","37,776","3.73"
2015,"019","01","Aguascalientes","011","San Francisco de los Romo","01011","Porcentaje de población en pobreza extrema","45,152","1.77"
2010,"019","01","Aguascalientes","008","San José de Gracia","01008","Porcentaje de población en pobreza extrema","7,160","12.72"
2015,"019","01","Aguascalientes","008","San José de Gracia","01008","Porcentaje de población en pobreza extrema","8,768","5.29"
2010,"019","01","Aguascalientes","009","Tepezalá","01009","Porcentaje de población en pobreza extrema","20,668","8.96"
2015,"019","01","Aguascalientes","009","Tepezalá","01009","Porcentaje de población en pobreza extrema","20,484","3.14"
2010,"019","02","Baja California","001","Ensenada","02001","Porcentaje de población en pobreza extrema","446,415","4.63"
2015,"019","02","Baja California","001","Ensenada","02001","Porcentaje de población en pobreza extrema","569,425","3.50"
2010,"019","02","Baja California","002","Mexicali","02002","Porcentaje de población en pobreza extrema","961,693","2.63"
2015,"019","02","Baja California","002","Mexicali","02002","Porcentaje de población en pobreza extrema","1,014,987","1.73"
2010,"019","02","Baja California","005","Playas de Rosarito","02005","Porcentaje de población en pobreza extrema","101,290","4.21"
2015,"019","02","Baja California","005","Playas de Rosarito","02005","Porcentaje de población en pobreza extrema","110,698","2.82"
2010,"019","02","Baja California","003","Tecate","02003","Porcentaje de población en pobreza extrema","89,999","2.59"
2015,"019","02","Baja California","003","Tecate","02003","Porcentaje de población en pobreza extrema","110,870","1.74"
2010,"019","02","Baja California","004","Tijuana","02004","Porcentaje de población en pobreza extrema","1,635,974","3.46"
2015,"019","02","Baja California","004","Tijuana","02004","Porcentaje de población en pobreza extrema","1,693,494","1.83"
2010,"019","03","Baja California Sur","001","Comondú","03001","Porcentaje de población en pobreza extrema","77,540","6.89"
2015,"019","03","Baja California Sur","001","Comondú","03001","Porcentaje de población en pobreza extrema","82,445","3.17"
2010,"019","03","Baja California Sur","003","La Paz","03003","Porcentaje de población en pobreza extrema","265,717","2.82"
2015,"019","03","Baja California Sur","003","La Paz","03003","Porcentaje de población en pobreza extrema","293,687","1.73"
2010,"019","03","Baja California Sur","009","Loreto","03009","Porcentaje de población en pobreza extrema","18,538","7.09"
2015,"019","03","Baja California Sur","009","Loreto","03009","Porcentaje de población en pobreza extrema","22,045","3.37"
2010,"019","03","Baja California Sur","008","Los Cabos","03008","Porcentaje de población en pobreza extrema","229,915","5.54"
2015,"019","03","Baja California Sur","008","Los Cabos","03008","Porcentaje de población en pobreza extrema","306,837","3.01"
2010,"019","03","Baja California Sur","002","Mulegé","03002","Porcentaje de población en pobreza extrema","63,127","5.40"
2015,"019","03","Baja California Sur","002","Mulegé","03002","Porcentaje de población en pobreza extrema","65,196","2.11"
2010,"019","04","Campeche","010","Calakmul","04010","Porcentaje de población en pobreza extrema","30,123","40.78"
2015,"019","04","Campeche","010","Calakmul","04010","Porcentaje de población en pobreza extrema","22,738","23.55"
2010,"019","04","Campeche","001","Calkiní","04001","Porcentaje de población en pobreza extrema","58,255","20.43"
2015,"019","04","Campeche","001","Calkiní","04001","Porcentaje de población en pobreza extrema","53,086","12.69"
2010,"019","04","Campeche","002","Campeche","04002","Porcentaje de población en pobreza extrema","244,274","4.91"
2015,"019","04","Campeche","002","Campeche","04002","Porcentaje de población en pobreza extrema","283,248","2.76"
2010,"019","04","Campeche","011","Candelaria","04011","Porcentaje de población en pobreza extrema","44,266","21.31"
2015,"019","04","Campeche","011","Candelaria","04011","Porcentaje de población en pobreza extrema","40,532","17.89"
2010,"019","04","Campeche","003","Carmen","04003","Porcentaje de población en pobreza extrema","229,075","9.37"
2015,"019","04","Campeche","003","Carmen","04003","Porcentaje de población en pobreza extrema","276,498","3.60"
2010,"019","04","Campeche","004","Champotón","04004","Porcentaje de población en pobreza extrema","82,327","15.06"
2015,"019","04","Campeche","004","Champotón","04004","Porcentaje de población en pobreza extrema","89,851","10.39"
2010,"019","04","Campeche","009","Escárcega","04009","Porcentaje de población en pobreza extrema","59,619","23.47"
2015,"019","04","Campeche","009","Escárcega","04009","Porcentaje de población en pobreza extrema","61,888","11.31"
2010,"019","04","Campeche","005","Hecelchakán","04005","Porcentaje de población en pobreza extrema","28,630","18.46"
2015,"019","04","Campeche","005","Hecelchakán","04005","Porcentaje de población en pobreza extrema","29,167","11.12"
2010,"019","04","Campeche","006","Hopelchén","04006","Porcentaje de población en pobreza extrema","46,342","29.48"
2015,"019","04","Campeche","006","Hopelchén","04006","Porcentaje de población en pobreza extrema","34,592","16.89"
2010,"019","04","Campeche","007","Palizada","04007","Porcentaje de población en pobreza extrema","9,605","18.19"
2015,"019","04","Campeche","007","Palizada","04007","Porcentaje de población en pobreza extrema","9,092","15.12"
2010,"019","04","Campeche","008","Tenabo","04008","Porcentaje de población en pobreza extrema","9,572","20.08"
2015,"019","04","Campeche","008","Tenabo","04008","Porcentaje de población en pobreza extrema","11,093","8.91"
2010,"019","07","Chiapas","001","Acacoyagua","07001","Porcentaje de población en pobreza extrema","19,011","50.44"
2015,"019","07","Chiapas","001","Acacoyagua","07001","Porcentaje de población en pobreza extrema","20,706","24.57"
2010,"019","07","Chiapas","002","Acala","07002","Porcentaje de población en pobreza extrema","36,736","43.52"
2015,"019","07","Chiapas","002","Acala","07002","Porcentaje de población en pobreza extrema","31,527","24.80"
2010,"019","07","Chiapas","003","Acapetahua","07003","Porcentaje de población en pobreza extrema","33,239","32.47"
2015,"019","07","Chiapas","003","Acapetahua","07003","Porcentaje de población en pobreza extrema","38,014","23.26"
2010,"019","07","Chiapas","113","Aldama","07113","Porcentaje de población en pobreza extrema","4,746","80.92"
2015,"019","07","Chiapas","113","Aldama","07113","Porcentaje de población en pobreza extrema","6,791","54.39"
2010,"019","07","Chiapas","004","Altamirano","07004","Porcentaje de población en pobreza extrema","25,598","61.67"
2015,"019","07","Chiapas","004","Altamirano","07004","Porcentaje de población en pobreza extrema","33,252","54.46"
2010,"019","07","Chiapas","006","Amatenango de la Frontera","07006","Porcentaje de población en pobreza extrema","26,880","35.84"
2015,"019","07","Chiapas","006","Amatenango de la Frontera","07006","Porcentaje de población en pobreza extrema","26,554","31.88"
2010,"019","07","Chiapas","007","Amatenango del Valle","07007","Porcentaje de población en pobreza extrema","8,360","71.62"
2015,"019","07","Chiapas","007","Amatenango del Valle","07007","Porcentaje de población en pobreza extrema","10,030","54.21"
2010,"019","07","Chiapas","005","Amatán","07005","Porcentaje de población en pobreza extrema","25,815","56.56"
2015,"019","07","Chiapas","005","Amatán","07005","Porcentaje de población en pobreza extrema","14,394","40.23"
2010,"019","07","Chiapas","008","Angel Albino Corzo","07008","Porcentaje de población en pobreza extrema","31,133","52.13"
2015,"019","07","Chiapas","008","Angel Albino Corzo","07008","Porcentaje de población en pobreza extrema","19,894","44.32"
2010,"019","07","Chiapas","009","Arriaga","07009","Porcentaje de población en pobreza extrema","48,842","21.16"
2015,"019","07","Chiapas","009","Arriaga","07009","Porcentaje de población en pobreza extrema","49,666","16.12"
2010,"019","07","Chiapas","010","Bejucal de Ocampo","07010","Porcentaje de población en pobreza extrema","8,620","51.06"
2015,"019","07","Chiapas","010","Bejucal de Ocampo","07010","Porcentaje de población en pobreza extrema","7,581","41.33"
2010,"019","07","Chiapas","011","Bella Vista","07011","Porcentaje de población en pobreza extrema","17,595","45.17"
2015,"019","07","Chiapas","011","Bella Vista","07011","Porcentaje de población en pobreza extrema","14,326","35.55"
2010,"019","07","Chiapas","114","Benemérito de las Américas","07114","Porcentaje de población en pobreza extrema","16,036","29.75"
2015,"019","07","Chiapas","114","Benemérito de las Américas","07114","Porcentaje de población en pobreza extrema","16,588","41.16"
2010,"019","07","Chiapas","012","Berriozábal","07012","Porcentaje de población en pobreza extrema","43,297","31.95"
2015,"019","07","Chiapas","012","Berriozábal","07012","Porcentaje de población en pobreza extrema","54,465","21.14"
2010,"019","07","Chiapas","013","Bochil","07013","Porcentaje de población en pobreza extrema","29,776","56.86"
2015,"019","07","Chiapas","013","Bochil","07013","Porcentaje de población en pobreza extrema","25,752","43.87"
2010,"019","07","Chiapas","015","Cacahoatán","07015","Porcentaje de población en pobreza extrema","41,780","28.18"
2015,"019","07","Chiapas","015","Cacahoatán","07015","Porcentaje de población en pobreza extrema","40,968","27.56"
2010,"019","07","Chiapas","016","Catazajá","07016","Porcentaje de población en pobreza extrema","17,276","16.33"
2015,"019","07","Chiapas","016","Catazajá","07016","Porcentaje de población en pobreza extrema","20,950","24.31"
2010,"019","07","Chiapas","022","Chalchihuitán","07022","Porcentaje de población en pobreza extrema","13,975","86.12"
2015,"019","07","Chiapas","022","Chalchihuitán","07022","Porcentaje de población en pobreza extrema","16,999","79.79"
2010,"019","07","Chiapas","023","Chamula","07023","Porcentaje de población en pobreza extrema","76,503","84.86"
2015,"019","07","Chiapas","023","Chamula","07023","Porcentaje de población en pobreza extrema","88,356","63.09"
2010,"019","07","Chiapas","024","Chanal","07024","Porcentaje de población en pobreza extrema","10,754","74.76"
2015,"019","07","Chiapas","024","Chanal","07024","Porcentaje de población en pobreza extrema","12,322","74.42"
2010,"019","07","Chiapas","025","Chapultenango","07025","Porcentaje de población en pobreza extrema","8,308","39.69"
2015,"019","07","Chiapas","025","Chapultenango","07025","Porcentaje de población en pobreza extrema","7,734","35.65"
2010,"019","07","Chiapas","026","Chenalhó","07026","Porcentaje de población en pobreza extrema","35,399","73.37"
2015,"019","07","Chiapas","026","Chenalhó","07026","Porcentaje de población en pobreza extrema","40,110","76.98"
2010,"019","07","Chiapas","027","Chiapa de Corzo","07027","Porcentaje de población en pobreza extrema","82,617","24.84"
2015,"019","07","Chiapas","027","Chiapa de Corzo","07027","Porcentaje de población en pobreza extrema","125,567","17.06"
2010,"019","07","Chiapas","028","Chiapilla","07028","Porcentaje de población en pobreza extrema","4,298","28.40"
2015,"019","07","Chiapas","028","Chiapilla","07028","Porcentaje de población en pobreza extrema","5,967","39.09"
2010,"019","07","Chiapas","029","Chicoasén","07029","Porcentaje de población en pobreza extrema","5,270","32.75"
2015,"019","07","Chiapas","029","Chicoasén","07029","Porcentaje de población en pobreza extrema","5,057","20.38"
2010,"019","07","Chiapas","030","Chicomuselo","07030","Porcentaje de población en pobreza extrema","27,650","51.49"
2015,"019","07","Chiapas","030","Chicomuselo","07030","Porcentaje de población en pobreza extrema","33,063","35.64"
2010,"019","07","Chiapas","031","Chilón","07031","Porcentaje de población en pobreza extrema","109,232","75.41"
2015,"019","07","Chiapas","031","Chilón","07031","Porcentaje de población en pobreza extrema","129,377","69.97"
2010,"019","07","Chiapas","017","Cintalapa","07017","Porcentaje de población en pobreza extrema","79,495","36.23"
2015,"019","07","Chiapas","017","Cintalapa","07017","Porcentaje de población en pobreza extrema","90,776","19.63"
2010,"019","07","Chiapas","018","Coapilla","07018","Porcentaje de población en pobreza extrema","7,374","46.00"
2015,"019","07","Chiapas","018","Coapilla","07018","Porcentaje de población en pobreza extrema","9,318","38.12"
2010,"019","07","Chiapas","019","Comitán de Domínguez","07019","Porcentaje de población en pobreza extrema","149,562","18.76"
2015,"019","07","Chiapas","019","Comitán de Domínguez","07019","Porcentaje de población en pobreza extrema","173,188","16.65"
2010,"019","07","Chiapas","021","Copainalá","07021","Porcentaje de población en pobreza extrema","22,242","22.31"
2015,"019","07","Chiapas","021","Copainalá","07021","Porcentaje de población en pobreza extrema","19,587","26.09"
2010,"019","07","Chiapas","014","El Bosque","07014","Porcentaje de población en pobreza extrema","18,671","71.40"
2015,"019","07","Chiapas","014","El Bosque","07014","Porcentaje de población en pobreza extrema","22,871","66.81"
2010,"019","07","Chiapas","070","El Porvenir","07070","Porcentaje de población en pobreza extrema","12,380","40.81"
2015,"019","07","Chiapas","070","El Porvenir","07070","Porcentaje de población en pobreza extrema","5,831","27.70"
2010,"019","07","Chiapas","032","Escuintla","07032","Porcentaje de población en pobreza extrema","33,130","32.85"
2015,"019","07","Chiapas","032","Escuintla","07032","Porcentaje de población en pobreza extrema","32,181","26.91"
2010,"019","07","Chiapas","033","Francisco León","07033","Porcentaje de población en pobreza extrema","7,000","37.95"
2015,"019","07","Chiapas","033","Francisco León","07033","Porcentaje de población en pobreza extrema","7,517","48.06"
2010,"019","07","Chiapas","034","Frontera Comalapa","07034","Porcentaje de población en pobreza extrema","67,371","26.55"
2015,"019","07","Chiapas","034","Frontera Comalapa","07034","Porcentaje de población en pobreza extrema","71,703","31.96"
2010,"019","07","Chiapas","035","Frontera Hidalgo","07035","Porcentaje de población en pobreza extrema","13,688","22.55"
2015,"019","07","Chiapas","035","Frontera Hidalgo","07035","Porcentaje de población en pobreza extrema","20,353","24.20"
2010,"019","07","Chiapas","037","Huehuetán","07037","Porcentaje de población en pobreza extrema","33,773","32.95"
2015,"019","07","Chiapas","037","Huehuetán","07037","Porcentaje de población en pobreza extrema","49,044","17.39"
2010,"019","07","Chiapas","039","Huitiupán","07039","Porcentaje de población en pobreza extrema","20,120","57.97"
2015,"019","07","Chiapas","039","Huitiupán","07039","Porcentaje de población en pobreza extrema","13,410","56.99"
2010,"019","07","Chiapas","040","Huixtla","07040","Porcentaje de población en pobreza extrema","54,846","23.59"
2015,"019","07","Chiapas","040","Huixtla","07040","Porcentaje de población en pobreza extrema","52,110","20.81"
2010,"019","07","Chiapas","038","Huixtán","07038","Porcentaje de población en pobreza extrema","21,241","62.50"
2015,"019","07","Chiapas","038","Huixtán","07038","Porcentaje de población en pobreza extrema","14,635","60.25"
2010,"019","07","Chiapas","042","Ixhuatán","07042","Porcentaje de población en pobreza extrema","11,454","44.08"
2015,"019","07","Chiapas","042","Ixhuatán","07042","Porcentaje de población en pobreza extrema","8,493","35.67"
2010,"019","07","Chiapas","043","Ixtacomitán","07043","Porcentaje de población en pobreza extrema","9,732","28.30"
2015,"019","07","Chiapas","043","Ixtacomitán","07043","Porcentaje de población en pobreza extrema","10,738","25.19"
2010,"019","07","Chiapas","044","Ixtapa","07044","Porcentaje de población en pobreza extrema","21,541","55.37"
2015,"019","07","Chiapas","044","Ixtapa","07044","Porcentaje de población en pobreza extrema","17,580","51.32"
2010,"019","07","Chiapas","045","Ixtapangajoya","07045","Porcentaje de población en pobreza extrema","5,475","28.99"
2015,"019","07","Chiapas","045","Ixtapangajoya","07045","Porcentaje de población en pobreza extrema","5,447","24.85"
2010,"019","07","Chiapas","046","Jiquipilas","07046","Porcentaje de población en pobreza extrema","39,051","20.27"
2015,"019","07","Chiapas","046","Jiquipilas","07046","Porcentaje de población en pobreza extrema","43,475","24.52"
2010,"019","07","Chiapas","047","Jitotol","07047","Porcentaje de población en pobreza extrema","13,558","69.83"
2015,"019","07","Chiapas","047","Jitotol","07047","Porcentaje de población en pobreza extrema","20,839","57.65"
2010,"019","07","Chiapas","048","Juárez","07048","Porcentaje de población en pobreza extrema","33,364","20.37"
2015,"019","07","Chiapas","048","Juárez","07048","Porcentaje de población en pobreza extrema","30,661","11.88"
2010,"019","07","Chiapas","020","La Concordia","07020","Porcentaje de población en pobreza extrema","56,467","44.24"
2015,"019","07","Chiapas","020","La Concordia","07020","Porcentaje de población en pobreza extrema","42,203","39.77"
2010,"019","07","Chiapas","036","La Grandeza","07036","Porcentaje de población en pobreza extrema","9,536","52.19"
